id,produto,quantidade,preco,data
1,cachecol,2,192.66,23/07/2023
2,agenda,3,432.62,17/02/2023
3,pendrive,9,276.96,15/09/2023
4,teclado,5,358.33,04/02/2023
5,régua,4,172.02,08/07/2023
6,agenda,2,480.13,09/09/2023
7,jaqueta,4,147.04,16/08/2023
8,agenda,10,144.47,12/04/2023
9,meia,8,300.69,15/02/2023
10,marcador,3,202.72,20/11/2023
11,marcador,9,452.47,21/04/2023
12,estojo,3,186.03,30/05/2023
13,teclado,3,407.73,27/12/2023
14,webcam,5,459.07,26/01/2023
15,teclado,7,339.42,27/06/2023
16,caderno,10,261.25,15/09/2023
17,cachecol,2,120.81,22/11/2023
18,HD externo,3,194.56,12/03/2023
19,camiseta,5,230.54,07/02/2023
20,estojo,2,123.76,16/11/2023
21,marcador,10,213.19,12/11/2023
22,mouse,8,162.77,02/05/2023
23,calça jeans,7,200.11,29/09/2023
24,régua,4,385.85,27/09/2023
25,caneta,2,233.6,08/03/2023
26,pendrive,4,307.23,06/01/2023
27,caneta,3,367.9,22/10/2023
28,calça jeans,1,93.32,08/05/2023
29,lapiseira,8,49.69,25/04/2023
30,borracha,7,227.26,22/09/2023
31,estojo,1,377.75,23/02/2023
32,caderno,8,29.75,17/07/2023
33,papel A4,5,46.35,24/06/2023
34,caneta,2,451.52,25/12/2023
35,caneta,10,481.97,27/03/2023
36,camiseta,10,468.27,12/01/2023
37,shorts,6,348.32,27/12/2023
38,carregador,3,91.31,14/07/2023
39,mouse,3,132.37,25/04/2023
40,luva,6,194.38,01/01/2023
41,webcam,1,425.95,25/04/2023
42,caderno,7,302.06,09/10/2023
43,marcador,10,258.57,20/10/2023
44,mouse,2,138.57,02/09/2023
45,régua,10,490.15,27/07/2023
46,agenda,1,389.34,30/11/2023
47,webcam,3,386.71,25/09/2023
48,suéter,7,457.13,18/04/2023
49,blusa de lã,1,117.57,01/01/2023
50,papel A4,8,178.47,05/11/2023
51,lapiseira,3,120.52,24/10/2023
52,shorts,3,181.01,13/04/2023
53,shorts,5,214.35,06/09/2023
54,caderno,2,446.61,29/03/2023
55,camiseta,5,382.88,18/10/2023
56,blusa de lã,9,171.62,24/11/2023
57,blusa de lã,9,64.74,10/01/2023
58,shorts,6,12.34,09/02/2023
59,power bank,8,328.84,20/03/2023
60,marcador,1,222.83,18/07/2023
61,luva,4,180.11,07/09/2023
62,meia,8,6.47,19/09/2023
63,estojo,5,471.95,06/10/2023
64,apontador,3,476.48,21/07/2023
65,caneta,8,364.1,27/09/2023
66,pendrive,1,421.11,21/06/2023
67,borracha,1,259.86,02/08/2023
68,suéter,2,389.67,26/03/2023
69,jaqueta,1,248.35,17/10/2023
70,teclado,4,422.26,22/11/2023
71,carregador,1,48.02,06/02/2023
72,power bank,4,466.98,21/06/2023
73,cachecol,1,379.58,21/06/2023
74,monitor,3,186.7,16/12/2023
75,luva,2,102.0,20/02/2023
76,borracha,8,62.84,01/06/2023
77,papel A4,3,414.76,04/01/2023
78,caneta,10,338.72,22/11/2023
79,borracha,10,292.4,08/12/2023
80,HD externo,1,219.26,01/11/2023
81,marcador,4,464.73,04/09/2023
82,estojo,7,154.54,25/08/2023
83,papel A4,2,38.47,01/04/2023
84,webcam,6,85.57,12/10/2023
85,HD externo,10,276.97,05/09/2023
86,régua,3,462.69,15/04/2023
87,HD externo,3,466.72,28/12/2023
88,estojo,1,264.22,27/08/2023
