"cod","titulo","autor","editora","valor","publicacao","edicao","idioma"
8,Artesào de saberes,47,13,512.22,"2017-08-23","2",portugues
9,Fundamentos de eletrônica,46,13,515.04,"2016-09-05","3",portugues
25,Odontogeriatria,9,13,357.35,"2017-02-24","2",portugues
38,Autos-de-fé como espetáculos de massa,36,13,463.27,"2018-05-31","3",portugues
45,O texto estranho,72,13,511.84,"2017-12-24","2",portugues
46,Citaçào e modernidade em Alvares de Azevedo,18,13,185.16,"2017-06-18","2",portugues
49,Marx e a liberdade,8,13,45.62,"2016-05-31","2",portugues
61,A nova obscuridade,47,13,411.06,"2017-02-09","1",portugues
62,Curso de cunicultura.-,12,13,272.59,"2015-12-08","1",portugues
69,A revoluçào do amor,67,13,290.22,"2016-08-14","5",portugues
70,Ninguém gosta de mim?,16,13,175.25,"2018-02-08","1",portugues
71,àtomo e natureza,61,13,273.76,"2015-05-23","2",portugues
74,Artes marciais mistas,30,13,144.72,"2015-05-06","1",portugues
77,Por que os gêmeos sào tào iguais?,58,13,46.75,"2016-07-23","2",portugues
78,Ensayos filosofico-juridicos,24,13,313.92,"2017-11-07","3",portugues
80,Epidemiologia das helmintoses de bovinos de corte no planalto catarinense,15,13,271.93,"2018-07-28","3",portugues
81,Rainforest cities,36,13,465.83,"2018-02-19","3",portugues
90,Desenvolvimento de um protítipo para alimentaçào de pís para aspersào térmica em tocha de,52,13,119.74,"2017-07-03","4",portugues
95,Marco de referência de educaçào alimentar e nutricional para as polâticas públicas. -,40,13,284.1,"2016-05-30","1",portugues
97,A psicologia dos psicílogos,66,13,381.36,"2018-09-02","5",portugues
108,San Agustân,49,13,431.35,"2015-04-21","3",portugues
119,Organizaçào de eventos,33,13,255.68,"2015-11-10","2",portugues
128,O milho,6,13,459.11,"2015-04-07","2",portugues
136,Drums,7,13,253.94,"2015-07-06","3",portugues
141,Shakespeare,8,13,257.53,"2015-10-29","2",portugues
142,Data quality and record linkage techniques,6,13,241.45,"2017-04-02","1",portugues
147,Os temas de movimento de Rudolf Laban,36,1,363.6,"2017-06-20","2",portugues
157,As bases do processo classificatírio em arquivâstica,11,1,148.58,"2018-09-15","1",portugues
161,O casamento da Bruxa Onilda,36,1,480.81,"2015-06-14","1",portugues
165,"Molecular markers, natural history, and evolution",24,1,324.77,"2015-05-12","1",portugues
169,Projeto de aberturas em almas de vigas de aço e vigas mistas de aço e concreto.,38,1,156.7,"2018-10-11","1",portugues
172,Problemas de estética,72,1,210.01,"2016-03-21","3",portugues
