"nome","codautor","nascimento","quantidade"
"AADNOY, Bernt",3,"1976-04-01",2
"ABBASCHIAN,  R",4,"1981-11-23",3
"ABE, Jair Minoro",5,"1982-08-12",2
"ABRAHAM, Martin A",6,"1983-01-04",4
"ABRAMCZUK, André A.",7,"1983-07-27",2
"ABRAMOVAY, Ricardo",8,"1984-04-24",6
"ABREU, Antônio Suárez",9,"1985-04-17",4
"ABUNAHMAN, Sérgio Antonio",10,"1985-06-08",0
"ACEVEDO MARIN, Rosa Elizabeth",11,"1986-03-03",2
"ACEVEDO, Claudia Rosa",12,"1986-03-11",2
"AENGEL, Yunus A",1,"1964-12-21",1
"AGOSTINHO,  Oswaldo  Luiz",14,"1987-05-30",3
AGÊNCIA NACIONAL DE ENERGIA ELÉTRICA BRASIL,13,"1986-11-03",1
"AKABANE, Getulio K.",15,"1988-02-04",2
"ALBANO, Ricardo Sonaglio",16,"1988-02-09",2
"ALBERGUINI, Leny Borghesan A",17,"1988-02-28",3
"ALBERTIN, Alberto Luiz",18,"1989-05-24",1
"ALBERTS, Bruce",19,"1990-09-13",1
"ALEKSEEV, Vladimir Nikolaevich",20,"1991-04-01",1
"ALENCAR FILHO, Edgard De",21,"1991-06-06",2
"ALEXANDER, Charles K",24,"1992-06-20",3
"ALEXÉEV, Michael V.",23,"1992-05-14",3
"ALLEN, P. A",25,"1992-07-14",2
"ALLINGER, Norman L (et al)",26,"1992-09-29",0
"ALMEIDA, Alfredo Wagner Berno De",27,"1992-10-02",0
"ALMEIDA, Fernando José De",28,"1993-02-03",1
"ALMEIDA, Jalcione",29,"1993-03-29",3
"ALMEIDA, Márcio De Souza S. De",30,"1993-04-23",1
"ALMEIDA, Rogério Henrique",31,"1993-06-12",5
"ALMEIDA, Salvador Luiz De",32,"1993-06-24",0
"ALONSO,  Marcelo",33,"1993-08-23",2
"ALRO, Helle",34,"1993-09-08",4
"ALTMANN, Wolfgang",35,"1994-03-18",2
"ALVARENGA, Beatriz Gonçalves De",36,"1994-03-28",5
"ALVES, Adilson Francelino",37,"1994-04-02",2
"ALVES, José Jerônimo De Alencar",38,"1994-08-09",3
"ALVES, Rubem",39,"1994-09-04",6
"ALVES, William Pereira",40,"1994-10-26",2
"AMABIS, José Mariano",41,"1994-10-31",1
"AMADO, Nélia",42,"1994-11-02",2
"AMALDI, U",43,"1994-11-24",2
"AMARAL FILHO, Jair Do",44,"1994-12-07",4
"AMARAL, Adriano Benayon Do",45,"1994-12-31",5
"AMARAL, Luciano Do",46,"1995-02-09",6
"ASTOLFI,  Jean-pierre",47,"1995-02-21",5
"ATKINS,  P.  W",48,"1995-03-02",2
"AZEVEDO, Gustavo H. W. De",49,"1995-04-22",2
"BABBITT, Harold E",51,"1995-05-16",0
"BACCAN, Nivaldo",52,"1995-08-17",4
"BACHELARD, Gaston",53,"1995-10-02",1
"BALBO, José Tadeu",54,"1995-10-02",0
"BALTAR, Carlos Adolpho Magalhães",55,"1995-10-20",1
"BARANENKOV, G. S",56,"1995-10-22",1
"BARATA, Ronaldo",57,"1995-11-01",2
"BARBALHO, Jader",58,"1995-11-05",2
"BARBETTA, Pedro Alberto",59,"1995-11-18",2
"BARBOSA,  Ruy  Madsen",60,"1995-12-11",2
"BARBOSA, Addson Lourenço",61,"1995-12-17",2
"BARBOSA, Estêvão José Da Silva",62,"1995-12-22",0
"BARBOSA, João Lucas Marques",63,"1995-12-30",2
"BARCELOS NETO, João",64,"1996-01-02",2
"BARDÁLEZ  HOYOS,  Juan  L",65,"1996-01-13",2
"BARISON, Thiago",66,"1996-01-20",3
"BARP, Wilson José",67,"1996-02-14",7
"BARROS NETO, Benício De",68,"1996-02-15",1
"BARROS, Benjamim Ferreira De",69,"1996-02-28",4
"BARROS, Carlos",70,"1996-04-02",2
"BARROS, Maria Vitória Martins",71,"1996-04-03",0
"BARROS, Regina Mambeli",72,"1996-06-07",4
"BARROSO, Leônidas Conceição.",73,"1996-06-09",1
"BARSANO, Paulo Roberto",74,"1996-06-09",4
"ÁVILA,  Geraldo",2,"1975-10-08",2
