"nome"
"ABBASCHIAN,  R"
"ABE, Jair Minoro"
"ABREU, Antônio Suárez"
"ACEVEDO MARIN, Rosa Elizabeth"
"ALEXANDER, Charles K"
"ALLEN, P. A"
"ALMEIDA, Fernando José De"
"ALTMANN, Wolfgang"
"ALVARENGA, Beatriz Gonçalves De"
"ALVES, José Jerônimo De Alencar"
"ALVES, William Pereira"
"AMADO, Nélia"
"AMALDI, U"
"AMARAL, Adriano Benayon Do"
"AMARAL, Luciano Do"
"ASTOLFI,  Jean-pierre"
"BARANENKOV, G. S"
"BARATA, Ronaldo"
"BARBALHO, Jader"
"BARBETTA, Pedro Alberto"
"BARBOSA,  Ruy  Madsen"
"BARDÁLEZ  HOYOS,  Juan  L"
"BARISON, Thiago"
"BARP, Wilson José"
"BARROS, Regina Mambeli"
"BARSANO, Paulo Roberto"
