"brand","count"
"AUDI","13"
"BMW","26"
"CHERY","14"
"CHEVROLET","35"
"CHRYSLER","3"
"CITROEN","11"
"DODGE","2"
"EFFA","1"
"FIAT","22"
"FORD","14"
"FOTON","1"
"GEELY","1"
"HAFEI","1"
"HONDA","9"
"HYUNDAI","18"
"JAC","11"
"JAGUAR","4"
"JEEP","5"
"JINBEI","1"
"KIA MOTORS","10"
"LAMBORGHINI","1"
"LAND ROVER","6"
"LEXUS","3"
"LIFAN","3"
"MERCEDES-BENZ","20"
"MINI","1"
"MITSUBISHI","7"
"NISSAN","9"
"PEUGEOT","15"
"PORSCHE","4"
"RAM","1"
"RENAULT","14"
"SMART","1"
"SSANGYONG","2"
"SUBARU","1"
"SUZUKI","2"
"TOYOTA","7"
"TROLLER","1"
"VOLKSWAGEN","28"
"VOLVO","5"
