"brand","visitas"
"FIAT","5958"
"CHEVROLET","5937"
"VOLKSWAGEN","4801"
"FORD","3296"
"RENAULT","2408"
"HYUNDAI","2333"
"HONDA","1129"
"PEUGEOT","881"
"CITROEN","825"
"NISSAN","644"
"TOYOTA","580"
"KIA MOTORS","329"
"JEEP","244"
"BMW","222"
"MITSUBISHI","176"
"LAND ROVER","151"
"MERCEDES-BENZ","139"
"AUDI","125"
"JAC","115"
"CHERY","71"
"VOLVO","47"
"DODGE","34"
"PORSCHE","21"
"CHRYSLER","19"
"LIFAN","19"
"MINI","13"
"SUZUKI","12"
"JAGUAR","9"
"SSANGYONG","7"
"HAFEI","6"
"JINBEI","6"
"SUBARU","5"
"TROLLER","4"
"LEXUS","4"
"RAM","4"
"SMART","2"
"GEELY","1"
"EFFA","1"
"FOTON","1"
"LAMBORGHINI","1"
