"store_name","visitas"
"RONDINELIA HENDRI WALTERCY LTDA","506"
"GERRIVALDO ROSIELEN VALTEIDE LTDA","460"
"CLAUDINEO JOZENAIDE LUYANE LTDA","458"
"IGNACIA ROSIDELMA PAVLA LTDA","412"
"DICIVALDO ROSICLER LISIAN LTDA","366"
"NILFA CID SILVANDRO LTDA","357"
"ADRIAO JOZIMARIO VALTERLINO LTDA","295"
"EMMI ISOLDINA LUTHERO LTDA","283"
"SINEIDA CARMELISA DELFINA LTDA","244"
"NEIRI WIRIS ARANALDO LTDA","243"
"KIYOKO CILEIDI JERY LTDA","238"
"GERLDO JUCLI RAINILDA LTDA","236"
"KIRLEN WILLAMAR ARCULINO LTDA","194"
"IRLANDE HERLAINE LERIS LTDA","186"
"IRVANIO HENANDES LORAINA LTDA","179"
"ADRYELL WOLNEI DELCIVAN LTDA","176"
"HARRISOM ELIENILSON LULIANE LTDA","157"
"IRTOM MARINO PALIANA LTDA","150"
"EMENI MEIRELANE LISIELE LTDA","149"
"CLEICILANE ORCIDIO DELCILIO LTDA","141"
"SUZUKI CIDIMARA DEZIELE LTDA","138"
"MARINS LEONIDIO VALDINO LTDA","136"
"JODINA CARLILI VALDILUCIO LTDA","130"
"ADO JUBERTH VALTUIDES LTDA","127"
"ALDEJAIR MOZAIR DEVISON LTDA","121"
"ALBIRAN MARINES ANAIL LTDA","120"
"KEULLE ZELIOMAR ANATIANA LTDA","118"
"ALBEMIR ZELANDIO DEYVIT LTDA","116"
"KRISMAN WING SEILA LTDA","115"
"CLEANO CILVIA FRANCISLAYNE LTDA","111"
"UBANO JOZELICE EURIDIANE LTDA","107"
"ROMILA WONI ZUREIA LTDA","103"
"CLEVISON HERLANO JANYARA LTDA","102"
"AMINE MEIK JACSANDRA LTDA","102"
"COSMIA IDERLANDO VALTILENE LTDA","101"
"NELBERT MEGY VALVETE LTDA","101"
"NERLANE ZENAILDA ANAN LTDA","100"
"TACYLA MARINILHA SILVERA LTDA","99"
"SUZICLEIDE CIMARIO DGERSON LTDA","98"
"CARLEANDERSON KAELANI LORENTINA LTDA","98"
"ELIEZI DHONYS JARDEILSON LTDA","96"
"JUVERLANIA HURBANO RAIIMUNDO LTDA","95"
"ADLER ELEONDAS FRANCIANIA LTDA","94"
"ABIDA ORBANO DELSIVAN LTDA","93"
"CLAUDIOR MOLTON ANAYA LTDA","93"
"UARLISON IASNAYA JERNILSON LTDA","91"
"MARINILDA WILLIENE ANTINHO LTDA","89"
"ALCENY KAILANNE ULIS LTDA","88"
"DHONY IDENIS LUSIENI LTDA","87"
"LAURILENA CASSIANE LIXANDRINA LTDA","86"
"CLAUDENEY IASMYM JERISVAN LTDA","85"
"EMILYNE JUCEMAR LUSICLEIA LTDA","85"
"KATELIM ELIEMARA LUKA LTDA","82"
"KILCE JOZEANE RAMELA LTDA","81"
"GERLANE ZILDECI JENISIO LTDA","81"
"NEUCILIA ELVARISTO CLEFTON LTDA","77"
"SINDIA CARSIO DELIDE LTDA","77"
"LAYANY ZELIA SILVANES LTDA","76"
"SILZO ELENIRA WALQUIRIO LTDA","75"
"NILZA ZENALHA ANARLENE LTDA","73"
"ALBILENE ROMERICA DEVENTINO LTDA","72"
"ELIELBA ROSIVANI FLAURINDO LTDA","70"
"DIOGINIS SANIR NEIVANDRO LTDA","70"
"ELIZETY CATALINA LORISA LTDA","70"
"SIRENEU CIRIACA LUZENILSON LTDA","70"
"RONADIA CARMELHA DELCINEY LTDA","70"
"LEANGELA CARME JANNES LTDA","68"
"TATHY MELK JARISLENE LTDA","67"
"ROMMY ELOINDA RAILLE LTDA","67"
"CANTALICIO ELIDENIA EPIFANIO LTDA","66"
"ITELINA ISOALDO HIORANA LTDA","66"
"WILDMAR ELEONAN FRANCELIR LTDA","65"
"HUGULINO KARIELE LEILAH LTDA","65"
"ELIELIA HERVECIO IRILDE LTDA","64"
"NERCILHA ZIRLANDE JESEBEL LTDA","64"
"VAGNES CAUET VELOCI LTDA","64"
"JOCLECIA ROSILDA VALDISSON LTDA","61"
"GILCELIA ELVANDRO RAIMILTON LTDA","61"
"KLEVERSSON JUCIVANDO RAELZA LTDA","60"
"EULENE VALBERT SINDE LTDA","58"
"CLAUSETE MORANDIR DEUSIRAM LTDA","58"
"ADNALDA WILKI DELEIA LTDA","57"
"ALBETISA JODIR ANDERLEIDE LTDA","56"
"VANDELEY NERINALDA ENEUDA LTDA","56"
"CLEILZA KAMILLE IGMAR LTDA","56"
"ELIENNE MERANDULINA DEIVEISON LTDA","55"
"ILARIANE MELRE RAINERE LTDA","55"
"ISAI DIANEFER HELTOM LTDA","55"
"CLARYSSA JOZENILDA JACY LTDA","54"
"NELVIA ELOCI LUZANA LTDA","54"
"LARISSE MUSTAFA KIRLEI LTDA","53"
"CLEMILSE AMAVEL VENESSA LTDA","53"
"LAWSON GERNEI KASANDRA LTDA","52"
"SMAEL IDEBALDO VALDONILSON LTDA","52"
"ILDEFONCO LEOTILDES RAIULA LTDA","52"
"DINEIVA KARLEANE ILDOM LTDA","52"
